"","SVM_LABEL","SVM_PROB","GLMNET_LABEL","GLMNET_PROB","MAXENTROPY_LABEL","MAXENTROPY_PROB","SLDA_LABEL","SLDA_PROB","LOGITBOOST_LABEL","LOGITBOOST_PROB","BAGGING_LABEL","BAGGING_PROB","FORESTS_LABEL","FORESTS_PROB","NNETWORK_LABEL","NNETWORK_PROB","TREE_LABEL","TREE_PROB","sentence"
"1","-1",0.592224834178329,"-1",0.515938116523379,"5",0.557058086451996,"-1",0.623605132556111,"-1",0.5,"-1",0.6,"-1",0.58,"-1",0.537205703248476,"-1",0.62573385518591,"in memory of aimee marie gillard -- johnson funeral home| aimee marie gillard."
"2","-1",0.624889559912145,"-1",0.610327072264191,"-1",0.504096632747458,"-1",0.607579734204009,"-1",0.5,"-1",0.88,"-1",0.535,"-1",0.559664394741669,"-1",0.62573385518591,"august 15, 1931 - june 11, 2015 facts."
"3","-1",0.635501123077402,"-1",0.588492489216177,"-1",0.531209048323718,"-1",0.61042030860397,"-1",0.5,"-1",1,"-1",1,"-1",0.676868801507765,"-1",0.62573385518591,"born: august 15, 1931."
"4","-1",0.630164037567588,"-1",0.620608420943009,"-1",0.659653281897058,"-1",0.628853033746846,"-1",0.5,"-1",1,"-1",0.91,"-1",0.676180346138937,"-1",0.62573385518591,"death: june 11, 2015 biography."
"5","-1",0.632071724978671,"-1",0.571489003336612,"5",0.675735508935417,"-1",0.548080881743313,"-1",0.5,"-1",0.88,"-1",0.645,"-1",0.533142864339981,"-1",0.62573385518591,"aimee marie broussard gillard, 83, of lake charles passed away peacefully, thursday, june 11, 2015 in the comfort of her home."
"6","-1",0.522212675915056,"-1",0.53279858648255,"5",0.500492409920071,"5",0.520256431949364,"5",0.880797077977882,"5",0.68,"5",0.965,"-1",0.542644580110126,"-1",0.62573385518591,"mrs."
"7","2",0.568563774258895,"2",0.460392473842052,"5",0.842989726343422,"2",0.997893571262826,"2",0.982013790037908,"2",0.88,"2",0.85,"5",0.406019159999939,"2",0.446700507614213,"gillard was a native of kaplan, la, a graduate of kaplan high school and lived all of her adult life in lake charles."
"8","-1",0.519647144573076,"-1",0.53279858648255,"5",0.493436023555963,"5",0.504808872427213,"5",0.880797077977882,"5",0.68,"5",0.905,"-1",0.580775915631456,"-1",0.62573385518591,"during her younger life, mrs."
"9","-1",0.641432216066399,"-1",0.809507677930679,"-1",0.895395412034458,"-1",0.857904245253358,"-1",0.880797077977882,"-1",1,"-1",0.995,"-1",0.676865508516175,"-1",0.62573385518591,"gillard worked many years as a legal secretary for plauche and plauche law firm."
"10","-1",0.632130333056069,"-1",0.619258392595202,"-1",0.548296738290753,"-1",0.520123461338861,"-1",0.5,"-1",1,"-1",0.77,"-1",0.676868801507765,"-1",0.62573385518591,"following retirement she embraced the challenge of business and opened shady lane show and sell in westlake and later aimee's shoppe in lake charles."
"11","-1",0.66402780684044,"-1",0.787335476713958,"-1",0.936448838293508,"-1",0.753149722751275,"-1",0.880797077977882,"-1",0.92,"-1",0.845,"-1",0.676858785220578,"-1",0.62573385518591,"she enjoyed traveling and camping, early morning and late evening walks and especially loved flower gardening of her """"continuous gardens""""."
"12","-1",0.522212675915056,"-1",0.53279858648255,"5",0.500492409920071,"5",0.520256431949364,"5",0.880797077977882,"5",0.68,"5",0.965,"-1",0.542644580110126,"-1",0.62573385518591,"mrs."
"13","-1",0.629159957686411,"-1",0.685844666993856,"-1",0.58395546311946,"-1",0.711342121358148,"-1",0.880797077977882,"-1",1,"-1",0.995,"-1",0.64297488196538,"-1",0.62573385518591,"gillard was a member of st."
"14","-1",0.620211227896459,"-1",0.653637717049049,"-1",0.95322584471573,"-1",0.678089663882474,"-1",0.5,"-1",1,"-1",0.94,"-1",0.676853554306299,"-1",0.62573385518591,"theodore catholic church and catholic daughters and our lady queen of heaven catholic church."
"15","-1",0.612529882422106,"-1",0.613619828870148,"-1",0.777000251787701,"-1",0.657700415687501,"-1",0.5,"-1",0.8,"-1",0.735,"-1",0.676868801507765,"-1",0.62573385518591,"she leaves to cherish her memory, one daughter, cynthia gillard and husband steve guidry of sugar land, tx; one granddaughter, aimee hayes gillard of tucson, az; two sisters, joyce faulk and earline bertrand and husband """"bert"""", both of kaplan."
"16","-1",0.638481918277389,"-1",0.703008250844444,"-1",0.826025219515713,"-1",0.836347446392821,"-1",0.5,"-1",1,"-1",0.905,"-1",0.676868801507765,"-1",0.62573385518591,"she also leaves her dear friend, maria fogal and husband ron of moss bluff and their children, christina thornhill and allison walker, who have come to be her family."
"17","-1",0.637374837706009,"-1",0.730108892613335,"-1",0.813955397581808,"-1",0.803971147057314,"-1",0.5,"-1",0.92,"-1",0.965,"-1",0.676868801507765,"-1",0.62573385518591,"she was preceded in death by her husband of fifty five years, ray cleveland gillard; son, bruce gillard; brother, curtis broussard and parents, maurice and lovenia dartez gillard."
"18","5",0.457565556009838,"1",0.343354214823269,"5",0.617809638847245,"5",0.455180305157783,"1",0.5,"1",0.6,"1",0.645,"1",0.721295352030083,"1",0.464406779661017,"a mass of christian burial will be at 1:00 pm monday, june 15, 2015 at our lady queen of heaven catholic church under the direction of johnson funeral home."
"19","-1",0.587163789261285,"-1",0.516956676311493,"5",0.512447122602991,"-1",0.552702874428835,"5",0.5,"-1",1,"-1",0.91,"1",0.721295352030083,"1",0.464406779661017,"monsignor charles dubois will officiate."
"20","-1",0.597496275972128,"-1",0.428502434650102,"1",0.680155962401113,"-1",0.63326138024459,"5",0.5,"5",0.64,"-1",0.545,"1",0.721295352030083,"1",0.464406779661017,"interment will follow in consolata cemetery."
"21","-1",0.418890270135526,"-1",0.450241119981235,"1",0.889631563249042,"-1",0.512103705777977,"5",0.5,"-1",0.84,"-1",0.55,"1",0.721295352030083,"1",0.464406779661017,"visitation sunday will be from 4:00 pm until 8:00 pm with a rosary beginning at 5:00 pm."
"22","1",0.917573050024397,"-1",0.516191809768678,"-1",0.764678075735221,"-1",0.843036882297493,"1",0.880797077977882,"1",0.48,"1",0.485,"-1",0.67634602042825,"1",0.464406779661017,"visitation monday will be from 8:00 am until 12:45 pm in the funeral home. in lieu of flowers, memorial donations may be made to our lady queen of heaven catholic church, 617 w claude street, lake charles, la 70606 or new life counsel of lake charles, 631 e. school street, lake charles, la 70607."
