"","SVM_LABEL","SVM_PROB","GLMNET_LABEL","GLMNET_PROB","MAXENTROPY_LABEL","MAXENTROPY_PROB","SLDA_LABEL","SLDA_PROB","LOGITBOOST_LABEL","LOGITBOOST_PROB","BAGGING_LABEL","BAGGING_PROB","FORESTS_LABEL","FORESTS_PROB","NNETWORK_LABEL","NNETWORK_PROB","TREE_LABEL","TREE_PROB","sentence"
"1","-1",0.596937255071611,"5",0.488124871123965,"5",0.582863706230341,"5",0.556336162298998,"-1",0.5,"5",0.52,"5",0.505,"-1",0.676868801507765,"-1",0.62573385518591,"in memory of lorena barnes hardy -- johnson funeral home| first: last: born: may 8, 1926."
"2","-1",0.628882492599461,"-1",0.620608420943009,"-1",0.546238694283892,"-1",0.684757663233407,"-1",0.5,"-1",1,"-1",0.905,"-1",0.676221976107145,"-1",0.62573385518591,"death: june 13, 2015."
"3","-1",0.617436198911457,"-1",0.480347043999875,"-1",0.618927611698281,"5",0.560960357198716,"-1",0.5,"-1",0.68,"5",0.53,"-1",0.676856555418242,"-1",0.62573385518591,"this memorial provided by:johnson funeral homelake charles, la lorena barnes hardy may 8, 1926 - june 13, 2015 lorena barnes hardy, 89, of carlyss passed away saturday, june 13, 2015 in a local healthcare facility."
"4","-1",0.522212675915056,"-1",0.53279858648255,"5",0.500492409920071,"5",0.520256431949364,"5",0.880797077977882,"5",0.68,"5",0.965,"-1",0.542644580110126,"-1",0.62573385518591,"mrs."
"5","-1",0.634303550984287,"-1",0.588492489216177,"5",0.569225385849018,"-1",0.615196822856409,"-1",0.5,"-1",0.96,"-1",0.67,"-1",0.676868801507765,"-1",0.62573385518591,"hardy was born in lake charles and lived most of her life in carlyss."
"6","-1",0.629096220226459,"-1",0.620608420943009,"-1",0.657234875497947,"-1",0.735354508759428,"-1",0.5,"-1",1,"-1",0.995,"-1",0.642151702716384,"-1",0.62573385518591,"she always took great pride in caring for her family."
"7","-1",0.636023609327204,"-1",0.676079855750303,"-1",0.862412179142541,"-1",0.774407980678674,"-1",0.5,"-1",1,"-1",0.92,"-1",0.676868801507765,"2",0.446700507614213,"she followed her sons to countless sporting events and her daughters to various school activities and pageants throughout the years."
"8","-1",0.522212675915056,"-1",0.53279858648255,"5",0.500492409920071,"5",0.520256431949364,"5",0.880797077977882,"5",0.68,"5",0.965,"-1",0.542644580110126,"-1",0.62573385518591,"mrs."
"9","-1",0.626375975331798,"-1",0.620608420943009,"5",0.2,"-1",0.642899968226011,"-1",0.5,"-1",1,"-1",1,"-1",0.588214946078191,"-1",0.62573385518591,"hardy was a """"social butterfly"""" of grand cove and an avid bingo and pokeno participant."
"10","-1",0.629159957686411,"-1",0.685844666993856,"-1",0.58395546311946,"-1",0.711342121358148,"-1",0.880797077977882,"-1",1,"-1",0.995,"-1",0.64297488196538,"-1",0.62573385518591,"she was a woman of faith and a member of st."
"11","-1",0.628114884059687,"-1",0.620608420943009,"-1",0.603145020746216,"-1",0.649915699625682,"-1",0.5,"-1",1,"-1",1,"-1",0.653967356354376,"-1",0.62573385518591,"theresa catholic church."
"12","-1",0.522212675915056,"-1",0.53279858648255,"5",0.500492409920071,"5",0.520256431949364,"5",0.880797077977882,"5",0.68,"5",0.965,"-1",0.542644580110126,"-1",0.62573385518591,"mrs."
"13","-1",0.585365009157494,"-1",0.516956676311493,"1",0.542393507829372,"-1",0.571168108022445,"5",0.5,"-1",0.96,"-1",0.9,"1",0.721295352030083,"1",0.464406779661017,"hardy will be most remembered for her smile."
"14","-1",0.617699324535927,"-1",0.734073612749205,"-1",0.940265365413602,"-1",0.831675273460972,"-1",0.880797077977882,"-1",0.96,"-1",0.89,"-1",0.676868801507765,"-1",0.62573385518591,"she leaves to cherish her memory, her devoted husband of sixty-five years, roland c. hardy, sr.; one daughter, gay hardy riley of knoxville, tn; two sons, bob hardy of toledo bend and clint hardy and wife carmen of lumberton, tx; eight grandchildren and one great-grandchild."
"15","-1",0.624531101734749,"-1",0.654087888793718,"-1",0.624334914447058,"-1",0.678857391310967,"-1",0.5,"-1",0.96,"-1",0.83,"-1",0.676868801507765,"-1",0.62573385518591,"she also leaves her friends of grand cove nursing center."
"16","-1",0.632107630182706,"-1",0.708632747612195,"-1",0.760413787417467,"-1",0.756766773001066,"-1",0.5,"-1",0.88,"-1",0.935,"-1",0.676868801507765,"-1",0.62573385518591,"she was preceded in death by her parents and daughter, jan hardy."
"17","5",0.442570809698061,"-1",0.406847821439442,"1",0.886117117383691,"-1",0.506348151853596,"5",0.5,"-1",0.4,"1",0.425,"1",0.721295352030083,"1",0.464406779661017,"a mass of christian burial will be at 11:00 am tuesday, june 16, 2015 at st. theresa catholic church in sulphur."
"18","-1",0.601682935963925,"-1",0.450727096847841,"-1",0.65303670526116,"-1",0.532231426789067,"5",0.5,"5",0.56,"-1",0.585,"1",0.721295352030083,"1",0.464406779661017,"reverend ernest corriveau, m. s. interment will follow in highland memory gardens."
"19","1",0.458332481531898,"1",0.471820294821808,"1",0.936663592133828,"1",0.342832067950494,"1",0.5,"5",0.48,"1",0.42,"1",0.721295352030083,"1",0.464406779661017,"visitation tuesday will from 10:00 am until the start of the service in the church."
"20","-1",0.522212675915056,"-1",0.53279858648255,"5",0.500492409920071,"5",0.520256431949364,"5",0.880797077977882,"5",0.68,"5",0.965,"-1",0.542644580110126,"-1",0.62573385518591,"mrs."
"21","-1",0.63251724041614,"-1",0.620608420943009,"-1",0.57111015843562,"-1",0.697414123512897,"-1",0.5,"-1",1,"-1",0.925,"-1",0.676867866204091,"-1",0.62573385518591,"hardy's family would like to express heartfelt thanks to dr. brian clements for his excellence in care and kindness."
