"","SVM_LABEL","SVM_PROB","GLMNET_LABEL","GLMNET_PROB","MAXENTROPY_LABEL","MAXENTROPY_PROB","SLDA_LABEL","SLDA_PROB","LOGITBOOST_LABEL","LOGITBOOST_PROB","BAGGING_LABEL","BAGGING_PROB","FORESTS_LABEL","FORESTS_PROB","NNETWORK_LABEL","NNETWORK_PROB","TREE_LABEL","TREE_PROB","sentence"
"1","-1",0.575516800035749,"-1",0.548727407550228,"-1",0.957654031806161,"-1",0.706893671391397,"-1",0.5,"-1",0.72,"-1",0.425,"-1",0.676868801507765,"-1",0.62573385518591,"| home about us our staff map & news & events our facilities contact us services funeral planning when death occurs burial services cremation services eulogies and obituaries faq pre-planning pre-arrange online grief resources 10 facts about grief and grieving understanding bereavement the loss of a spouse the loss of a pet loss from a childs perspective helping children cope with grief how to help someone who is grieving dealing with special days and holidays grief after suicide grief in the workplace legal advice bank accounts death certificates executors probate wills sign ininvalid e-mail and password."
"2","-1",0.62643569230832,"-1",0.557670792143521,"5",0.542896539055744,"-1",0.641671729012448,"-1",0.5,"-1",0.76,"-1",0.515,"-1",0.676868801507765,"-1",0.62573385518591,"sign in cancel add photo light candle add condolence addison lucille leigh """"addy lu"""" staton tuesday, june 9, 2015 condolences service information candles symbolic gestures photos memories share this tribute add photo add memory add condolence of addison staton."
"3","-1",0.609937391814043,"-1",0.620608420943009,"-1",0.580222509204043,"-1",0.703918519704335,"-1",0.5,"-1",1,"-1",0.955,"-1",0.669359129534486,"-1",0.62573385518591,"church hill, tn little fighter."
"4","-1",0.625944430294798,"-1",0.571489003336612,"-1",0.596896179245944,"5",0.553618772524888,"-1",0.5,"-1",0.92,"-1",0.685,"-1",0.676799648842691,"-1",0.62573385518591,"addison lucille leigh staton addy lu 5 months old, passed away tuesday, june 9, 2015 at her home."
"5","-1",0.621679824938721,"-1",0.620608420943009,"-1",0.418188315842272,"-1",0.656966866518178,"-1",0.5,"-1",1,"-1",0.99,"-1",0.616982976461025,"-1",0.62573385518591,"addy spent 4 months at vanderbilt fighting for her life."
"6","-1",0.626863054800352,"-1",0.588492489216177,"-1",0.878252909662728,"-1",0.672752425262768,"-1",0.5,"-1",0.8,"-1",0.785,"-1",0.676868801507765,"-1",0.62573385518591,"she was born with hypoplastic right heart syndrome, and at a month old she received the gift of life, a new heart."
"7","-1",0.627638637492591,"-1",0.620608420943009,"-1",0.62775118570699,"-1",0.683332585103913,"-1",0.5,"-1",1,"-1",0.89,"-1",0.676837588293513,"-1",0.62573385518591,"a selfless mother gave addy her gift,."
"8","-1",0.628725162505328,"-1",0.657687970449722,"-1",0.572100204641429,"-1",0.697641692089401,"-1",0.5,"-1",1,"-1",0.995,"-1",0.636115533118358,"-1",0.62573385518591,"addy touched many in her few short months on earth."
"9","-1",0.626375975331798,"-1",0.620608420943009,"5",0.2,"-1",0.642899968226011,"-1",0.5,"-1",1,"-1",1,"-1",0.588214946078191,"-1",0.62573385518591,"she was too perfect for earth and jesus needed her for bigger and better missions in heaven."
"10","-1",0.585365009157494,"-1",0.516956676311493,"1",0.542393507829372,"-1",0.571168108022445,"5",0.5,"-1",0.96,"-1",0.9,"1",0.721295352030083,"1",0.464406779661017,"her smile, laugh and fighting attitude will never be forgotten."
"11","-1",0.636436048138002,"-1",0.702311453152703,"-1",0.741800594654456,"-1",0.760768000121346,"-1",0.5,"-1",1,"-1",1,"-1",0.676679602206725,"-1",0.62573385518591,"addy lu was a fighter and was loved by many."
"12","-1",0.636279666763026,"-1",0.703949986304023,"-1",0.963853093556303,"-1",0.825425447174546,"-1",0.5,"-1",0.96,"-1",0.95,"-1",0.676868801507765,"-1",0.62573385518591,"she is preceded in death by, tyler steen, olivia nutter, gladys ketron, bill ketron, joe newland, don spivey, arnold staton, rena griffin, bill nutter and special friend, harper wooten."
"13","-1",0.628177382622675,"-1",0.620608420943009,"-1",0.682169532720034,"-1",0.590978735329792,"-1",0.5,"-1",0.92,"-1",0.545,"-1",0.676868801507765,"-1",0.62573385518591,"she is survived by her parents, corey and april staton of the home, sisters; isabela sanchez and riley staton of the home."
