"","SVM_LABEL","SVM_PROB","GLMNET_LABEL","GLMNET_PROB","MAXENTROPY_LABEL","MAXENTROPY_PROB","SLDA_LABEL","SLDA_PROB","LOGITBOOST_LABEL","LOGITBOOST_PROB","BAGGING_LABEL","BAGGING_PROB","FORESTS_LABEL","FORESTS_PROB","NNETWORK_LABEL","NNETWORK_PROB","TREE_LABEL","TREE_PROB","sentence"
"1","-1",0.626375975331798,"-1",0.620608420943009,"5",0.2,"-1",0.642899968226011,"-1",0.5,"-1",1,"-1",1,"-1",0.588214946078191,"-1",0.62573385518591,"albert t. stroup."
"2","-1",0.628201931807468,"-1",0.620608420943009,"5",0.442705136326266,"-1",0.625434183453422,"-1",0.5,"-1",1,"-1",0.86,"-1",0.668394588502753,"-1",0.62573385518591,"albert thomas s| albert t. stroup."
"3","-1",0.602373768391323,"-1",0.519598435972105,"-1",0.549117494839279,"3",0.99921038235497,"-1",0.5,"-1",0.64,"-1",0.55,"-1",0.676868801507765,"-1",0.62573385518591,"albert thomas stroup, 89, passed away on june 1, 2015. he was born november 29, 1925 in akron to eslie and margaret jones. he was a world war ii veteran who was stationed in the south pacific, serving on a pt boat."
"4","-1",0.648661890439466,"-1",0.938621565910363,"-1",0.996587035119714,"-1",0.970614093499388,"-1",0.997527376843365,"-1",0.84,"-1",0.85,"-1",0.676868801507765,"-1",0.62573385518591,"albert was a member of teamsters local 348 and worked as a truck driver for borden dairy. he was also a member of messiah lutheran church, the pt boaters association and the south shore yacht club in akron. he enjoyed reading, sailing, and loved living on the lake."
"5","-1",0.585365009157494,"-1",0.516956676311493,"1",0.542393507829372,"-1",0.571168108022445,"5",0.5,"-1",0.96,"-1",0.9,"1",0.721295352030083,"1",0.464406779661017,"albert was a well-liked, friendly man who will be missed by all who knew him."
"6","-1",0.632472316473875,"-1",0.703449966792826,"-1",0.724600831401106,"-1",0.70048238532822,"-1",0.5,"-1",1,"-1",0.93,"-1",0.676868801507765,"-1",0.62573385518591,"albert was preceded in death by his parents; and siblings, freda, margaret, hazel, floyd, and alice."
"7","-1",0.634014860055099,"-1",0.736145558579241,"-1",0.691243879143148,"-1",0.745364700089187,"-1",0.880797077977882,"-1",0.92,"-1",0.905,"-1",0.676868801507765,"-1",0.62573385518591,"he is survived by his wife of 64 years, virginia; son, keith (laurel) stroup; grandchildren, chessia stroup and benjamin mishler; niece, blanche mc."
"8","-1",0.626659306369305,"-1",0.620608420943009,"3",0.949141760936435,"-1",0.609791704760113,"-1",0.5,"-1",0.96,"-1",0.845,"-1",0.583851981778263,"-1",0.62573385518591,"dougal; dearest cousin, bob jones; dear sister-in-law, alcyon mc."
"9","-1",0.636322963901895,"-1",0.667622764196224,"5",0.525314993938985,"-1",0.733420983957034,"-1",0.5,"-1",1,"-1",0.96,"-1",0.676868801507765,"-1",0.62573385518591,"mains; numerous nieces and nephews, all of whom he loved dearly."
"10","1",0.640057045867449,"-1",0.37668060099406,"1",0.826892623083676,"1",0.653165448368949,"1",0.880797077977882,"-1",0.44,"1",0.54,"-1",0.676240433224408,"-1",0.62573385518591,"friends may call at messiah lutheran church, 4700 s. main st., akron, oh 44319 on monday, june 8, 2015 from 5 to 6:30 p. m., with a celebration of life service in memory of albert following, pastor eileen woyen officiating."
"11","1",0.413358697505748,"5",0.388616212504211,"5",0.679981654890271,"1",0.601759089645476,"5",0.5,"5",0.84,"5",0.455,"1",0.721295352030083,"1",0.464406779661017,"interment will be held on monday, june 15, 2015 at 11:30 a. m. at ohio western reserve national cemetery in rittman, ohio."
"12","-1",0.628083711469735,"-1",0.561401762606069,"-1",0.540256906928209,"-1",0.66964561438675,"-1",0.5,"-1",0.72,"-1",0.64,"-1",0.676868801507765,"-1",0.62573385518591,"church map, directions, and the stroup family condolence book are available at the funeral home's website."
"13","-1",0.626375975331798,"-1",0.620608420943009,"5",0.2,"-1",0.642899968226011,"-1",0.5,"-1",1,"-1",1,"-1",0.588214946078191,"-1",0.62573385518591,"bacher-portage lakes330-644-0024."
"14","-1",0.626375975331798,"-1",0.620608420943009,"5",0.2,"-1",0.642899968226011,"-1",0.5,"-1",1,"-1",1,"-1",0.588214946078191,"-1",0.62573385518591,"bacher."
"15","-1",0.626375975331798,"-1",0.620608420943009,"5",0.2,"-1",0.642899968226011,"-1",0.5,"-1",1,"-1",1,"-1",0.588214946078191,"-1",0.62573385518591,"funeralhome."
"16","-1",0.626375975331798,"-1",0.620608420943009,"5",0.2,"-1",0.642899968226011,"-1",0.5,"-1",1,"-1",1,"-1",0.588214946078191,"-1",0.62573385518591,"compublished in akron beacon journal from june 5 to june 7, 2015"
