"","SVM_LABEL","SVM_PROB","GLMNET_LABEL","GLMNET_PROB","MAXENTROPY_LABEL","MAXENTROPY_PROB","SLDA_LABEL","SLDA_PROB","LOGITBOOST_LABEL","LOGITBOOST_PROB","BAGGING_LABEL","BAGGING_PROB","FORESTS_LABEL","FORESTS_PROB","NNETWORK_LABEL","NNETWORK_PROB","TREE_LABEL","TREE_PROB","sentence"
"1","-1",0.628046455669658,"-1",0.620608420943009,"-1",0.511695841535313,"-1",0.734118165961812,"-1",0.5,"-1",1,"-1",0.695,"-1",0.649432125102104,"-1",0.62573385518591,"helen m. workinger."
"2","-1",0.630056245561178,"-1",0.620608420943009,"-1",0.523382761313444,"-1",0.808959414845681,"-1",0.5,"-1",1,"-1",0.675,"-1",0.669692523858427,"-1",0.62573385518591,"helen m. work| helen m. workinger."
"3","-1",0.632671863902673,"-1",0.571489003336612,"-1",0.518274150993425,"-1",0.674028086766677,"-1",0.5,"-1",0.96,"-1",0.82,"-1",0.673324924456102,"-1",0.62573385518591,"helen m. workinger, 100, passed away on june 6, 2015."
"4","-1",0.636845868572364,"-1",0.588492489216177,"-1",0.625776626419651,"-1",0.692267507706852,"-1",0.5,"-1",1,"-1",0.725,"-1",0.676868801507765,"-1",0.62573385518591,"she was born february 1, 1915 in auburn, ind. to the late herbert and mary beck."
"5","-1",0.62583011923079,"-1",0.685844666993856,"2",0.773178605152549,"-1",0.719874495084082,"-1",0.880797077977882,"-1",0.88,"-1",0.97,"5",0.457064205849505,"-1",0.62573385518591,"she was a member of lockwood united methodist church."
"6","-1",0.633934431627592,"-1",0.703449966792826,"-1",0.705365271282212,"-1",0.810453455436331,"-1",0.5,"-1",1,"-1",0.98,"-1",0.676868801507765,"-1",0.62573385518591,"helen was preceded in death by her husband, theron workinger."
"7","-1",0.629598515366167,"-1",0.620608420943009,"-1",0.544458051617394,"-1",0.640964031413251,"-1",0.5,"-1",1,"-1",0.905,"-1",0.676374049087891,"-1",0.62573385518591,"she is survived by her son, larry (sharon) workinger."
"8","-1",0.554364971204956,"-1",0.551287203533114,"1",0.854275718537385,"-1",0.543054039294122,"-1",0.5,"5",0.6,"5",0.435,"-1",0.644182201456957,"-1",0.62573385518591,"friends may call at bacher funeral home, 3326 manchester rd., on thursday, june 11, 2015 from 4 to 7 p."
"9","1",0.790393705644299,"5",0.390214775661456,"1",0.986624758209748,"-1",0.553289345574115,"1",0.5,"5",0.68,"1",0.69,"1",0.721295352030083,"1",0.464406779661017,"m., where service will be held on friday at 11 a. m., pastor dale r. gharky officiating."
"10","-1",0.595006353114882,"-1",0.588801472888283,"1",0.694614848623773,"-1",0.590248870278198,"-1",0.5,"-1",0.88,"-1",0.695,"-1",0.527521374142884,"-1",0.62573385518591,"interment at greenlawn memorial park."
"11","-1",0.621584527719878,"-1",0.500115954514194,"5",0.470180521876199,"-1",0.603565112384457,"-1",0.5,"-1",0.72,"-1",0.56,"-1",0.676868801507765,"-1",0.62573385518591,"funeral home map, directions, and the workinger family condolence book are available at the funeral home's website."
"12","-1",0.626375975331798,"-1",0.620608420943009,"5",0.2,"-1",0.642899968226011,"-1",0.5,"-1",1,"-1",1,"-1",0.588214946078191,"-1",0.62573385518591,"bacher-portage lakes330-644-0024."
"13","-1",0.626375975331798,"-1",0.620608420943009,"5",0.2,"-1",0.642899968226011,"-1",0.5,"-1",1,"-1",1,"-1",0.588214946078191,"-1",0.62573385518591,"bacher."
"14","-1",0.626375975331798,"-1",0.620608420943009,"5",0.2,"-1",0.642899968226011,"-1",0.5,"-1",1,"-1",1,"-1",0.588214946078191,"-1",0.62573385518591,"funeralhome."
"15","-1",0.626375975331798,"-1",0.620608420943009,"5",0.2,"-1",0.642899968226011,"-1",0.5,"-1",1,"-1",1,"-1",0.588214946078191,"-1",0.62573385518591,"compublished in akron beacon journal on june 10, 2015"
