"","SVM_LABEL","SVM_PROB","GLMNET_LABEL","GLMNET_PROB","MAXENTROPY_LABEL","MAXENTROPY_PROB","SLDA_LABEL","SLDA_PROB","LOGITBOOST_LABEL","LOGITBOOST_PROB","BAGGING_LABEL","BAGGING_PROB","FORESTS_LABEL","FORESTS_PROB","NNETWORK_LABEL","NNETWORK_PROB","TREE_LABEL","TREE_PROB","sentence"
"1","-1",0.630632294930646,"-1",0.620608420943009,"5",0.449625436438782,"-1",0.662166939802245,"-1",0.5,"-1",1,"-1",0.92,"-1",0.676854719729629,"-1",0.62573385518591,"together againjames """"jim"""" b. wi| together againjames """"jim"""" b. wightman."
"2","-1",0.637971535095735,"-1",0.545971263687527,"5",0.661079647925891,"-1",0.525339829762347,"-1",0.5,"-1",0.84,"-1",0.785,"-1",0.67686829198451,"-1",0.62573385518591,"james """"jim"""" b. wightman, age 84, passed away june 8, 2015."
"3","-1",0.633717671879983,"-1",0.750937257437941,"-1",0.617913049646738,"-1",0.744060904490212,"-1",0.880797077977882,"-1",1,"-1",0.985,"-1",0.676868709304904,"-1",0.62573385518591,"jim enjoyed travelling and mechanics."
"4","-1",0.61559811647068,"-1",0.619258392595202,"-1",0.630247093279884,"-1",0.604762050685975,"-1",0.5,"-1",1,"-1",0.955,"-1",0.676868801507765,"-1",0.62573385518591,"he built and operated loyal oak car wash and was a truck driver later in life."
"5","-1",0.637476287336718,"-1",0.829388165062674,"-1",0.94229869125288,"-1",0.83241997653907,"-1",0.880797077977882,"-1",0.76,"-1",0.8,"-1",0.676868801507765,"-1",0.62573385518591,"preceded in death by wife, janice; brother, john; and parents, blake and jarmilla; he is survived by children, james (marilyn) wightman, joan (kyle) fry, and robert (beverly) braman; six grandchildren; many great-grandchildren; sisters, teresa jacobs and patricia crook; and extended family and friends."
"6","1",0.509335211335463,"1",0.483168814384435,"1",0.916295492354181,"1",0.856006623388678,"1",0.5,"1",0.64,"1",0.625,"1",0.721295352030083,"1",0.464406779661017,"funeral service will be friday, june 12, 2015 at 11 a. m. at cox funeral home, 222 norton ave., barberton, with rev."
"7","-1",0.626375975331798,"-1",0.620608420943009,"5",0.2,"-1",0.642899968226011,"-1",0.5,"-1",1,"-1",1,"-1",0.588214946078191,"-1",0.62573385518591,"dr."
"8","-1",0.613930689948672,"-1",0.618699324092126,"-1",0.509073042905457,"-1",0.683726313933064,"-1",0.5,"-1",1,"-1",1,"-1",0.624474301653224,"-1",0.62573385518591,"mike somerville officiating."
"9","-1",0.604940352063067,"-1",0.477560886367612,"1",0.559198965569939,"-1",0.583764928184308,"5",0.5,"5",0.92,"-1",0.485,"1",0.721295352030083,"1",0.464406779661017,"burial will be at greenlawn cemetery."
"10","5",0.41582625836256,"-1",0.478269086072899,"1",0.803727204169293,"-1",0.602283364148555,"5",0.5,"-1",0.68,"-1",0.47,"1",0.721295352030083,"1",0.464406779661017,"family will receive friends thursday from 6 to 8 p. m. cox, barberton330-745-3311 published in akron beacon journal from june 10 to june 11, 2015"
