"","SVM_LABEL","SVM_PROB","GLMNET_LABEL","GLMNET_PROB","MAXENTROPY_LABEL","MAXENTROPY_PROB","SLDA_LABEL","SLDA_PROB","LOGITBOOST_LABEL","LOGITBOOST_PROB","BAGGING_LABEL","BAGGING_PROB","FORESTS_LABEL","FORESTS_PROB","NNETWORK_LABEL","NNETWORK_PROB","TREE_LABEL","TREE_PROB","sentence"
"1","-1",0.60852217314756,"-1",0.542862907068919,"-1",0.54017566142078,"5",0.521106287758424,"-1",0.5,"-1",0.72,"5",0.545,"-1",0.676868801507765,"-1",0.62573385518591,"in memory of evelyn lenora sieber| first: last: born: march 12, 1922."
"2","-1",0.609738350519063,"-1",0.614709624835343,"-1",0.559140290582163,"-1",0.51420703947392,"-1",0.5,"-1",0.92,"-1",0.685,"-1",0.622970792771273,"-1",0.62573385518591,"place of birth: outside of willow city, nddeath: june 6, 2015."
"3","-1",0.607071619162315,"-1",0.522869967579556,"5",0.58208484224677,"5",0.5212903991859,"-1",0.5,"-1",0.68,"-1",0.5,"-1",0.67680718342989,"-1",0.62573385518591,"place of death: minot, ndthis memorial provided by:thompson-larson funeral directorsminot, nd evelyn lenora sieber."
"4","-1",0.635853693177836,"-1",0.571489003336612,"-1",0.567607095866058,"-1",0.575951593811541,"-1",0.5,"-1",0.96,"-1",0.785,"-1",0.672627194598813,"-1",0.62573385518591,"march 12, 1922 - june 6, 2015 evelyn lenora sieber, 93, passed away june 6, 2015 at trinity hospital in minot."
"5","-1",0.634379073426351,"-1",0.594526311204137,"-1",0.593437835008106,"-1",0.622755006330371,"-1",0.5,"-1",0.96,"-1",0.7,"-1",0.676868801507765,"-1",0.62573385518591,"evelyn lenora sanderson was born march 12, 1922 on a farmstead outside of willow city, north dakota, a daughter of clarence and ida (livedahl) sanderson."
"6","-1",0.64079646215275,"-1",0.454701996187596,"2",0.881452495503185,"2",1,"2",0.5,"2",0.92,"2",0.61,"5",0.451942979886841,"2",0.446700507614213,"she attended grade school in a country school before graduating from willow city high school in 1940."
"7","-1",0.639695242106181,"-1",0.636482742651467,"2",0.944074790965459,"-1",0.60661132422518,"2",0.880797077977882,"2",0.8,"-1",0.675,"5",0.425158032240274,"2",0.446700507614213,"evelyn then attended good samaritan nursing school in rugby, nd."
"8","-1",0.634787459647483,"-1",0.759294186441214,"-1",0.971507351203037,"-1",0.702074363579139,"-1",0.880797077977882,"-1",0.96,"-1",0.875,"-1",0.676868801507765,"-1",0.62573385518591,"following her graduation in 1943, she worked at the good samaritan hospital in rugby, and later went on to work as a home nurse in center and mc."
"9","-1",0.634516358700585,"-1",0.686628120481455,"-1",0.706826262868893,"-1",0.767787984660305,"-1",0.5,"-1",0.96,"-1",0.94,"-1",0.676541862201371,"-1",0.62573385518591,"clusky, north dakota, before working for many years at the bottineau clinic."
"10","-1",0.630202186770937,"-1",0.620608420943009,"-1",0.483505619465159,"-1",0.635247025552791,"-1",0.5,"-1",1,"-1",0.815,"-1",0.668637607884258,"-1",0.62573385518591,"on may 22, 1944, evelyn was united in marriage to banks h."
"11","-1",0.556871960351393,"-1",0.428561993108307,"3",0.959091058400158,"3",0.999999999999998,"5",0.5,"3",0.96,"3",0.435,"1",0.721149182163429,"3",0.5,"sieber at the presbyterian church in texas, where he was stationed while service in the united states army."
"12","-1",0.630081803159635,"-1",0.620608420943009,"3",0.923947667229404,"-1",0.606553080045307,"-1",0.5,"-1",1,"-1",0.74,"-1",0.670373382502444,"-1",0.62573385518591,"following his discharge, they returned to north dakota."
"13","-1",0.629159957686411,"-1",0.685844666993856,"-1",0.58395546311946,"-1",0.711342121358148,"-1",0.880797077977882,"-1",1,"-1",0.995,"-1",0.64297488196538,"-1",0.62573385518591,"evelyn was a longtime member of the bottineau presbyterian womens organization, and the stitch and study homemakers club."
"14","-1",0.634650743006308,"-1",0.667775881747689,"-1",0.515607535413018,"-1",0.742884930508663,"-1",0.5,"-1",1,"-1",0.93,"-1",0.668855045079295,"-1",0.62573385518591,"she was active with narf in bottineau and minot, and was co-president of the bottineau chapter for the american cancer association for three years."
"15","-1",0.650799547644601,"-1",0.787028139404988,"-1",0.943182729800251,"-1",0.832478077312243,"-1",0.880797077977882,"-1",0.76,"-1",0.88,"-1",0.676868524208411,"-1",0.62573385518591,"evelyn worked with her husband, banks, on many county and state organizations to which he belonged."
"16","-1",0.640436796919374,"-1",0.812463779087487,"-1",0.889256279216199,"-1",0.878151674669981,"-1",0.880797077977882,"-1",1,"-1",1,"-1",0.676868801507765,"-1",0.62573385518591,"they also worked together as secretary/treasurer of the nd-manitoba no-till association for eight years."
"17","-1",0.636092682819992,"-1",0.776226825471515,"-1",0.929084454920658,"-1",0.918810378795701,"-1",0.5,"-1",0.92,"-1",0.925,"-1",0.676868801507765,"-1",0.62573385518591,"evelyn loved to read and do many types of hand art work she also loved working in the yard and with her vegetable garden and flowers."
"18","-1",0.651708328031878,"-1",0.6466097025095,"-1",0.80757162148363,"-1",0.701900269877887,"-1",0.5,"-1",0.96,"-1",0.915,"-1",0.676868801507765,"-1",0.62573385518591,"her vegetable garden provided many winter meals for the family."
"19","-1",0.634136276759977,"-1",0.735001274107986,"-1",0.867986290651666,"-1",0.852425148763832,"-1",0.5,"-1",0.76,"-1",0.85,"-1",0.676868801507765,"-1",0.62573385518591,"she is preceded in death by her husband of 65 years, banks harold sieber, daughter loretta, and daughter-in-law karen sieber, parents, six brothers (kenneth, clifford, merton, morris, donald, and infant twin brother to donald) and two sisters, bernice nichol and ethel anderson."
"20","-1",0.635151874083222,"-1",0.718805709045893,"-1",0.843556563396068,"-1",0.711082808243815,"-1",0.880797077977882,"-1",0.96,"-1",0.91,"-1",0.676868801507765,"-1",0.62573385518591,"evelyn is survived by sons dennis (jan) sieber of anthem, az, byron sieber (mary beth) of grand forks, nd and daughter elaine anderson (robert) of victor, id as well as her precious grandchildren tracy sieber-garza, scott sieber, elizabeth anderson, erika anderson, matthew anderson and ben sieber plus two great-grandchildren ryland and cassidy garza."
"21","-1",0.636569092420802,"-1",0.806299346890246,"-1",0.903187023429962,"-1",0.917859867429751,"-1",0.880797077977882,"-1",0.88,"-1",0.83,"-1",0.676868801507765,"-1",0.62573385518591,"also surviving are four step grandchildren with their spouses and seven step great-grandchildren and many nieces and nephews, one sister lorraine haakenstad, sister in-laws arlene sanderson, helen sieber and leila lehmann plus many friends across north dakota and the us."
"22","5",0.408611200860798,"1",0.549284142132777,"1",0.924018376554102,"1",0.803625421637594,"1",0.880797077977882,"1",0.76,"1",0.575,"1",0.721295352030083,"1",0.464406779661017,"visitation will be at the thompson larson funeral home in minot on friday, june 12 from 9:00am until service time."
"23","1",0.990423517633859,"1",0.988962795304597,"1",0.86589659262889,"1",0.999999999984961,"1",0.999954602131298,"1",1,"1",0.935,"1",0.721295352030083,"1",0.977859778597786,"a celebration of life service will be held at 10:00 am on friday, june 12, 2015 at thompson larson funeral home chapel, minot burial will be at the north dakota veterans memorial cemetery south of mandan, nd beside her husband on friday, june 12 at 3:00 pm."
"24","-1",0.606955039923907,"-1",0.584922519012809,"1",0.372372670173907,"-1",0.588095444986586,"-1",0.5,"-1",1,"-1",0.7,"-1",0.560900579887472,"-1",0.62573385518591,"memorials are preferred to the north dakota veterans memorial cemetery at mandan, nd or the minot commission on aging."
