"","SVM_LABEL","SVM_PROB","GLMNET_LABEL","GLMNET_PROB","MAXENTROPY_LABEL","MAXENTROPY_PROB","SLDA_LABEL","SLDA_PROB","LOGITBOOST_LABEL","LOGITBOOST_PROB","BAGGING_LABEL","BAGGING_PROB","FORESTS_LABEL","FORESTS_PROB","NNETWORK_LABEL","NNETWORK_PROB","TREE_LABEL","TREE_PROB","sentence"
"1","-1",0.597459738169134,"5",0.488124871123965,"5",0.530736295687385,"5",0.6099927146651,"-1",0.5,"-1",0.68,"5",0.51,"-1",0.676868801507765,"-1",0.62573385518591,"in memory of george david durham -- thompson's harveson & cole funeral home| first: last: born: may 8, 1925."
"2","-1",0.628882492599461,"-1",0.620608420943009,"-1",0.546238694283892,"-1",0.684757663233407,"-1",0.5,"-1",1,"-1",0.905,"-1",0.676221976107145,"-1",0.62573385518591,"death: june 8, 2015."
"3","-1",0.619125864574913,"-1",0.529097703532699,"5",0.580868733685051,"5",0.541605292209012,"-1",0.5,"-1",0.64,"-1",0.505,"-1",0.676744053683699,"-1",0.62573385518591,"this memorial provided by:thompson's harveson & cole funeral homefort worth, tx george david durham."
"4","-1",0.629403812995877,"-1",0.620608420943009,"-1",0.649629577750859,"-1",0.673415160826025,"-1",0.5,"-1",1,"-1",1,"-1",0.676868464727278,"-1",0.62573385518591,"may 8, 1925 - june 8, 2015 send card."
"5","-1",0.631925016099503,"-1",0.571489003336612,"-1",0.508615520942236,"-1",0.531045013236709,"-1",0.5,"-1",0.8,"-1",0.795,"-1",0.661886330686386,"-1",0.62573385518591,"george david durham, 90, passed away monday, june 8, 2015."
"6","-1",0.531752182858878,"-1",0.559099823879879,"-1",0.429496735176416,"-1",0.638151023401829,"-1",0.5,"-1",0.44,"1",0.46,"-1",0.675165739878045,"-1",0.62573385518591,"memorial service: 2 p. m. friday at first presbyterian church, 1000 penn st., fort worth."
"7","1",0.415717626551078,"1",0.47190547611137,"1",0.843281109986064,"1",0.393837833289418,"1",0.5,"1",0.44,"1",0.49,"1",0.721295352030083,"1",0.464406779661017,"graveside service will be at noon saturday in aspermont cemetery in aspermont."
"8","-1",0.663774115052086,"-1",0.855497470668711,"-1",0.979106683744268,"-1",0.882979420230701,"-1",0.880797077977882,"-1",1,"-1",0.99,"-1",0.676868801507765,"-1",0.62573385518591,"memorials: in lieu of flowers, memorials in his name may be made to the mission outreach program at first presbyterian church or to your favorite charity."
"9","-1",0.633819829379989,"-1",0.570307530726831,"-1",0.857871541953824,"-1",0.661791195217597,"-1",0.5,"-1",0.76,"-1",0.595,"-1",0.676868801507765,"-1",0.62573385518591,"dave was born may 8, 1925, in forney to george dewey durham and doris annis durham. in 1931, when dave was just 6 years old, his father, a methodist pastor in dallas, passed away and he, his mother, sister, annis, and brother, paul, moved to aspermont."
"10","-1",0.626375975331798,"-1",0.620608420943009,"5",0.2,"-1",0.642899968226011,"-1",0.5,"-1",1,"-1",1,"-1",0.588214946078191,"-1",0.62573385518591,"it was here where he grew up, living next door to his grandparents, adrian archibald annis and willie porter annis."
"11","-1",0.708735988469297,"3",0.499438270787201,"-1",0.978945487876379,"3",1,"3",0.5,"3",0.68,"3",0.515,"5",0.466686918045023,"3",0.5,"dave left aspermont to enroll in texas a&m university, which he attended for only one year before he volunteered for the army air corps during world war ii. he served the nation he loved so deeply with courage and bravery, flying 32 combat missions over germany in a b-17, which her crew affectionately named """"stormy weather."""""
"12","-1",0.591488492550595,"-1",0.5957473670314,"-1",0.88863127310928,"-1",0.74294365196202,"-1",0.880797077977882,"2",0.96,"2",0.48,"-1",0.642688232382563,"2",0.736842105263158,"following the war, dave graduated from texas tech university and enjoyed a successful professional career at amoco production company."
"13","-1",0.627933629069968,"-1",0.620608420943009,"-1",0.500646331702862,"-1",0.659919794573813,"-1",0.5,"-1",1,"-1",0.78,"-1",0.676864828304119,"-1",0.62573385518591,"upon his retirement, dave used the skills he had developed to found the owl creek production company with his friend, earl morris."
"14","-1",0.632360285826014,"-1",0.620608420943009,"2",0.843971433906981,"-1",0.698685607633776,"-1",0.5,"-1",1,"-1",0.625,"5",0.407399624276853,"-1",0.62573385518591,"dave never lost his roots in west texas, owning ranches outside aspermont and jayton."
"15","-1",0.631622205824487,"-1",0.813029261796086,"-1",0.980250897650923,"-1",0.852975865300095,"-1",0.880797077977882,"-1",0.92,"-1",0.925,"-1",0.676868801507765,"-1",0.62573385518591,"dave loved and enjoyed many things in this life, first among those was his devotion to god and his family, generously providing for and serving them."
"16","-1",0.598878068522868,"-1",0.620608420943009,"-1",0.421479289836355,"-1",0.678680609530468,"-1",0.5,"-1",1,"-1",0.92,"-1",0.654738145690439,"-1",0.62573385518591,"dave was very active in church leadership throughout his life."
"17","-1",0.622112285737019,"-1",0.640341646845721,"-1",0.855133402377973,"-1",0.68738350613668,"-1",0.5,"-1",1,"-1",0.885,"-1",0.671902236885917,"-1",0.62573385518591,"most recently, he served as an elder, was on the session, and as president of various groups at first presbyterian church."
"18","-1",0.626375975331798,"-1",0.620608420943009,"5",0.2,"-1",0.642899968226011,"-1",0.5,"-1",1,"-1",1,"-1",0.588214946078191,"-1",0.62573385518591,"dave's favorite sport was golf."
"19","-1",0.623650675485239,"-1",0.667622764196224,"-1",0.63879362718975,"-1",0.725240806987621,"-1",0.5,"-1",1,"-1",1,"-1",0.676570238892147,"-1",0.62573385518591,"as much as he loved playing or watching golf, he treasured the friendships he developed at ridglea country club and on the other courses throughout his life."
"20","-1",0.626375975331798,"-1",0.620608420943009,"5",0.2,"-1",0.642899968226011,"-1",0.5,"-1",1,"-1",1,"-1",0.588214946078191,"-1",0.62573385518591,"he had even more joy in setting up golf tournaments for charitable fundraising."
"21","-1",0.631893267661734,"-1",0.657687970449722,"2",0.41764781596367,"-1",0.777123651943713,"-1",0.5,"-1",1,"-1",0.975,"-1",0.676031705292833,"-1",0.62573385518591,"he was involved in many such tournaments, both in houston and fort worth."
"22","-1",0.63231331394174,"-1",0.63574842609145,"-1",0.543586251026979,"-1",0.667287763535101,"-1",0.5,"-1",1,"-1",0.98,"-1",0.676502446094388,"-1",0.62573385518591,"one of these tournaments benefited the presbyterian night shelter."
"23","-1",0.637835878681487,"-1",0.83055710039527,"-1",0.964200299224902,"-1",0.90417203096232,"-1",0.880797077977882,"-1",0.96,"-1",0.955,"-1",0.676868801507765,"-1",0.62573385518591,"dave also greatly enjoyed painting, collecting art, building clocks and bestowing the fruits of those efforts on his family and friends. he also traveled the world and always treasured its many wonders."
"24","-1",0.622069798179823,"-1",0.620608420943009,"-1",0.562760411475882,"-1",0.673656586699147,"-1",0.5,"-1",1,"-1",0.875,"-1",0.676866413736665,"-1",0.62573385518591,"dave was a positive man of faith and integrity, totally engaged in life, a true friend, the most generous and giving person always caring for and helping others."
"25","-1",0.636414233138534,"-1",0.703449966792826,"-1",0.89416493974291,"-1",0.700924630682648,"-1",0.5,"-1",1,"-1",0.92,"-1",0.676868801507765,"-1",0.62573385518591,"dave was preceded in death by his parents; brother, paul; and his first wife, maxine poe durham."
"26","-1",0.641215118103206,"-1",0.78128756207551,"-1",0.876053036576038,"-1",0.828728004675932,"-1",0.880797077977882,"-1",0.88,"-1",0.785,"-1",0.676868801507765,"-1",0.62573385518591,"survivors: his wife of nearly 14 years, sara fowlkes durham; daughter, nancy durham baxter and husband, phil; son, george david durham ii; sister, annis allen and husband, robert; grandchildren, christ baxter and wife, jennifer, becca block and husband, ryan, george david durham iii and wife, lucy, dallas durham and wife, shannon; seven great-grandchildren; stepchildren, steve fowlkes and wife, ellen, mark fowlkes and wife, gina; and stepgrandchildren, gage fowlkes, caitlan fowlkes flinn and u. s. marine corps sgt."
"27","-1",0.628201931807468,"-1",0.620608420943009,"5",0.442705136326266,"-1",0.625434183453422,"-1",0.5,"-1",1,"-1",0.86,"-1",0.668394588502753,"-1",0.62573385518591,"thomas fowlkes."
