"","SVM_LABEL","SVM_PROB","GLMNET_LABEL","GLMNET_PROB","MAXENTROPY_LABEL","MAXENTROPY_PROB","SLDA_LABEL","SLDA_PROB","LOGITBOOST_LABEL","LOGITBOOST_PROB","BAGGING_LABEL","BAGGING_PROB","FORESTS_LABEL","FORESTS_PROB","NNETWORK_LABEL","NNETWORK_PROB","TREE_LABEL","TREE_PROB","sentence"
"1","-1",0.626375975331798,"-1",0.620608420943009,"5",0.2,"-1",0.642899968226011,"-1",0.5,"-1",1,"-1",1,"-1",0.588214946078191,"-1",0.62573385518591,"cory ferguson| cory ferguson."
"2","-1",0.633279794392375,"-1",0.498726851826596,"5",0.70905356444452,"5",0.539342281943661,"-1",0.5,"-1",0.64,"-1",0.575,"-1",0.676317525238033,"-1",0.62573385518591,"died: june 09, 2015 cory allen ferguson, age 24, passed away tuesday, june 9, 2015 at riverside methodist hospital."
"3","2",0.767416824797567,"2",0.460392473842052,"2",0.865240703772571,"2",0.999978961155289,"2",0.880797077977882,"2",0.6,"2",0.955,"5",0.346983024282007,"2",0.446700507614213,"graduate of hilliard darby high school, class of 2010."
"4","-1",0.626375975331798,"-1",0.620608420943009,"5",0.2,"-1",0.642899968226011,"-1",0.5,"-1",1,"-1",1,"-1",0.588214946078191,"-1",0.62573385518591,"employee of whole foods."
"5","-1",0.631614697436949,"-1",0.703449966792826,"-1",0.734950619578988,"-1",0.786261900833248,"-1",0.5,"-1",1,"-1",0.985,"-1",0.676868801507765,"-1",0.62573385518591,"preceded in death by grandmother, erma mc."
"6","-1",0.626375975331798,"-1",0.620608420943009,"5",0.2,"-1",0.642899968226011,"-1",0.5,"-1",1,"-1",1,"-1",0.588214946078191,"-1",0.62573385518591,"collister; niece, harmony grace."
"7","-1",0.628723152401504,"-1",0.620608420943009,"-1",0.64618927819388,"-1",0.653923430088118,"-1",0.5,"-1",1,"-1",0.78,"-1",0.676868801507765,"-1",0.62573385518591,"survived by mother and stepfather, brenda and sidney stover; brothers, bryan (nicole) ferguson and brandon (aimee) ferguson; grandfather, joseph mc."
"8","-1",0.630192038624711,"-1",0.612277462853147,"5",0.723915493170734,"-1",0.701627595025761,"-1",0.5,"-1",1,"-1",0.885,"-1",0.676868801507765,"-1",0.62573385518591,"collister; aunts and uncles, terry, lori (jim), randy and amy; nieces and nephews, cassidy, zachary, liberty, and soon-to-be lincoln; countless friends and other family."
"9","5",0.390698116595035,"-1",0.513226600101344,"1",0.805884964812239,"-1",0.582830586056638,"-1",0.5,"-1",0.52,"1",0.345,"-1",0.67657440636594,"-1",0.62573385518591,"friends may call monday, june 15, 2015 from 11 a. m. until time of service at 1 p. m. at the tidd family funeral home, 5265 norwich st. in hilliard."
"10","-1",0.632229155526485,"-1",0.599782395676818,"-1",0.453039102079188,"-1",0.671203941417074,"-1",0.5,"-1",0.52,"-1",0.475,"-1",0.527378880589913,"-1",0.62573385518591,"interment sunset cemetery."
"11","-1",0.585365009157494,"-1",0.516956676311493,"1",0.542393507829372,"-1",0.571168108022445,"5",0.5,"-1",0.96,"-1",0.9,"1",0.721295352030083,"1",0.464406779661017,"a benefit concert to assist with cory's final expenses will be friday, june 12, 2015 at ruby tuesday, 1978 summit st. in columbus."
"12","-1",0.640903932502792,"-1",0.662016383581253,"-1",0.62162447251682,"-1",0.841536006825771,"-1",0.5,"-1",1,"-1",0.945,"-1",0.676868801507765,"-1",0.62573385518591,"doors open at 6 p. m. donations are also being accepted at www. gofundme."
"13","-1",0.626375975331798,"-1",0.620608420943009,"5",0.2,"-1",0.642899968226011,"-1",0.5,"-1",1,"-1",1,"-1",0.588214946078191,"-1",0.62573385518591,"com/wewz6s."
"14","-1",0.629194607970625,"-1",0.620608420943009,"-1",0.694505283375067,"-1",0.647088732385283,"-1",0.5,"-1",1,"-1",0.88,"-1",0.531640191184135,"-1",0.62573385518591,"#croyfromproducesend sympathy card print name location email personal message hide emailenter personal message here too difficult to read? reload."
"15","-1",0.626375975331798,"-1",0.620608420943009,"5",0.2,"-1",0.642899968226011,"-1",0.5,"-1",1,"-1",1,"-1",0.588214946078191,"-1",0.62573385518591,"type the text in order submit guest book entry ."
