"","SVM_LABEL","SVM_PROB","GLMNET_LABEL","GLMNET_PROB","MAXENTROPY_LABEL","MAXENTROPY_PROB","SLDA_LABEL","SLDA_PROB","LOGITBOOST_LABEL","LOGITBOOST_PROB","BAGGING_LABEL","BAGGING_PROB","FORESTS_LABEL","FORESTS_PROB","NNETWORK_LABEL","NNETWORK_PROB","TREE_LABEL","TREE_PROB","sentence"
"1","-1",0.62529018498198,"-1",0.620608420943009,"-1",0.483091791552421,"-1",0.734482562283655,"-1",0.5,"-1",1,"-1",0.705,"-1",0.54912248793262,"-1",0.62573385518591,"harold doust| harold doust."
"2","-1",0.622062614187878,"-1",0.483555970764143,"5",0.500795482917852,"5",0.546818533437816,"-1",0.5,"-1",0.76,"-1",0.515,"-1",0.676868405074928,"-1",0.62573385518591,"died: june 12, 2015 harold e. doust, age 81, passed away friday, june 12, 2015 at licking memorial hospital."
"3","-1",0.636800864846861,"-1",0.588492489216177,"-1",0.557327033957765,"-1",0.60863943798532,"-1",0.5,"-1",1,"-1",0.78,"-1",0.676868801507765,"-1",0.62573385518591,"born in columbus, oh to the late donald and mary doust."
"4","-1",0.622786429870113,"-1",0.537057514621587,"-1",0.795108853901774,"-1",0.90323296579841,"-1",0.5,"3",0.6,"-1",0.575,"5",0.457383457063539,"3",0.5,"harold was an u. s. army veteran; longtime member of the iof and an active participant of the libbencon clowns where he was known as """"herkie the clown;"""" member of hilliard presbyterian church; retired from western electric as an installer and from riverside methodist hospital as a shuttle driver; volunteer with the kobacker house hospice."
"5","-1",0.637714695985917,"-1",0.764108265861245,"-1",0.772885894692425,"-1",0.814381541141028,"-1",0.5,"-1",0.84,"-1",0.9,"-1",0.676868801507765,"-1",0.62573385518591,"also preceded by loving wife of 60 years, dee doust, aunt gladys sayre."
"6","-1",0.621862277129728,"-1",0.824551134195975,"-1",0.916531567124478,"-1",0.872461393433078,"-1",0.880797077977882,"-1",0.88,"-1",0.87,"-1",0.676868801507765,"-1",0.62573385518591,"survived by children, steve (carol) doust, elaine hoyer and brenda (dan) hickman; grandchildren, megan, eric, ashley (doug), kellie (jerrod), kaylea and brittany; great grandchildren, amy, brayden, josh, ava, landen and grayson; brother, goodie (marlene) doust; longtime friends, jack and carol walker; numerous nieces, nephews and many other friends."
"7","-1",0.5680982176964,"-1",0.551287203533114,"1",0.636178828836039,"-1",0.599098123872546,"-1",0.5,"5",0.56,"-1",0.39,"-1",0.676866612348747,"-1",0.62573385518591,"friends may call tuesday, june 16, 2015 from 2-4 and 6-8 p. m. at the tidd family funeral home, 5265 norwich st. in hilliard, oh."
"8","1",0.64328051050114,"1",0.355324047754357,"1",0.909555769333932,"1",0.575077322971277,"5",0.5,"1",0.56,"1",0.475,"1",0.721295352030083,"1",0.464406779661017,"funeral service will be wednesday, june 17, 2015 at the hilliard presbyterian church, 3600 leap road in hilliard, at 10 a. m. rev."
"9","-1",0.613930689948672,"-1",0.618699324092126,"-1",0.509073042905457,"-1",0.683726313933064,"-1",0.5,"-1",1,"-1",1,"-1",0.624474301653224,"-1",0.62573385518591,"bob armstrong officiating."
"10","-1",0.628448348021351,"-1",0.612114638443469,"-1",0.377889422915127,"-1",0.645456790154873,"-1",0.5,"-1",1,"-1",0.81,"-1",0.494341866670345,"-1",0.62573385518591,"entombment forest lawn cemetery."
"11","-1",0.641173648237991,"-1",0.845691529260965,"-1",0.869754190481366,"-1",0.791963441245799,"-1",0.880797077977882,"-1",1,"-1",0.99,"-1",0.676868801507765,"-1",0.62573385518591,"memorial contributions may be made to ohio."
"12","-1",0.627571133425743,"-1",0.620608420943009,"-1",0.623765873912941,"-1",0.716280971733305,"-1",0.5,"-1",1,"-1",0.81,"-1",0.67684761253009,"-1",0.62573385518591,"health hospice, 800 mc."
"13","-1",0.626238790789587,"-1",0.620608420943009,"5",0.518831347657175,"-1",0.649691451523811,"-1",0.5,"-1",1,"-1",0.95,"-1",0.674244716004107,"-1",0.62573385518591,"connell drive, columbus, ohio 43214."
"14","-1",0.630267374710215,"-1",0.620608420943009,"-1",0.615139221589813,"-1",0.674198259549111,"-1",0.5,"-1",1,"-1",0.93,"-1",0.676553477444113,"-1",0.62573385518591,"send sympathy card print name location email personal message hide emailenter personal message here too difficult to read? reload."
"15","-1",0.626375975331798,"-1",0.620608420943009,"5",0.2,"-1",0.642899968226011,"-1",0.5,"-1",1,"-1",1,"-1",0.588214946078191,"-1",0.62573385518591,"type the text in order submit guest book entry ."
