"","SVM_LABEL","SVM_PROB","GLMNET_LABEL","GLMNET_PROB","MAXENTROPY_LABEL","MAXENTROPY_PROB","SLDA_LABEL","SLDA_PROB","LOGITBOOST_LABEL","LOGITBOOST_PROB","BAGGING_LABEL","BAGGING_PROB","FORESTS_LABEL","FORESTS_PROB","NNETWORK_LABEL","NNETWORK_PROB","TREE_LABEL","TREE_PROB","sentence"
"1","-1",0.594601813466176,"5",0.505694124711399,"-1",0.732336458999476,"5",0.501500196868989,"-1",0.5,"5",0.6,"5",0.535,"-1",0.676868801507765,"-1",0.62573385518591,"in memory of audrey l. severson -- tollefson funeral home| facts born: february 20, 1955 place of birth: grafton, nd death: june 8, 2015 send card."
"2","-1",0.626375975331798,"-1",0.620608420943009,"5",0.2,"-1",0.642899968226011,"-1",0.5,"-1",1,"-1",1,"-1",0.588214946078191,"-1",0.62573385518591,"audrey l. severson."
"3","-1",0.6363725768106,"-1",0.545971263687527,"-1",0.549700224056849,"-1",0.624359696328812,"-1",0.5,"-1",0.92,"-1",0.835,"-1",0.676867334479041,"-1",0.62573385518591,"february 20, 1955 - june 8, 2015 audrey leona severson, age 60, passed away on monday, june 8, 2015."
"4","-1",0.635152657033485,"-1",0.594526311204137,"-1",0.659951976316758,"-1",0.715784210213482,"-1",0.5,"-1",0.96,"-1",0.745,"-1",0.676868801507765,"-1",0.62573385518591,"audrey was born february 20, 1955 in grafton, nd the daughter of the late richard and june (prochazka) jelinek."
"5","-1",0.635840508210188,"-1",0.651020005758332,"-1",0.693205930836175,"-1",0.754342257994973,"-1",0.5,"-1",0.92,"-1",0.815,"-1",0.676868801507765,"-1",0.62573385518591,"during all of audreys teenage years she willingly put forward her skills of caring for her sisters needs and taking care of household duties while our parents were busy tending to the family farm."
"6","-1",0.596734541246074,"-1",0.571551691705787,"2",0.853791887407511,"2",0.999471960556999,"-1",0.5,"-1",1,"-1",0.815,"-1",0.568779331753861,"2",0.446700507614213,"she excelled in school, always being on the a honor roll at the pisek public school."
"7","-1",0.626375975331798,"-1",0.620608420943009,"5",0.2,"-1",0.642899968226011,"-1",0.5,"-1",1,"-1",1,"-1",0.588214946078191,"-1",0.62573385518591,"she was valedictorian for her class of 1973."
"8","-1",0.607280702063207,"-1",0.659630219443757,"-1",0.870580704257456,"2",0.999999950675708,"2",0.5,"-1",0.6,"2",0.48,"-1",0.541016872275874,"2",0.446700507614213,"she received several achievement awards including, outstanding teenager of america, the society of outstanding american high school students, letter award for cheerleading, certificate award for the class of 1973 valedictorian, jamestown college honor scholarship and la societe des hommes et 8 chevaux scholarship for outstanding achievement."
"9","-1",0.596734541246074,"-1",0.571551691705787,"2",0.853791887407511,"2",0.999471960556999,"-1",0.5,"-1",1,"-1",0.815,"-1",0.568779331753861,"2",0.446700507614213,"she was on the committee for the school newspaper as well as other entities of school activities."
"10","-1",0.634884817270215,"-1",0.921143288608239,"-1",0.990028084226602,"-1",0.941014428466039,"-1",0.880797077977882,"-1",0.88,"-1",0.84,"-1",0.676868801507765,"-1",0.62573385518591,"audrey enjoyed decorating and furnishing her home with the trend, an exceptional tidy homemaker, enjoyed cooking and baking, enjoyed flowers and shrub landscapes, lifelong photography including developing her own film in the earlier years."
"11","-1",0.62617443359157,"-1",0.781375918614162,"-1",0.858949577071944,"-1",0.836411896650964,"-1",0.880797077977882,"-1",0.88,"-1",0.975,"-1",0.676868801507765,"-1",0.62573385518591,"she loved visiting friends and family and enjoyed being a pet owner to her two canine companions and her cat."
"12","-1",0.638307474544628,"-1",0.784652619352801,"-1",0.771360553460946,"-1",0.807188283553456,"-1",0.880797077977882,"-1",1,"-1",0.99,"-1",0.676868801507765,"-1",0.62573385518591,"having no children of her own, she enjoyed displaying pictures of her nieces and nephews and always asked about their lives and well being."
"13","-1",0.626375975331798,"-1",0.620608420943009,"5",0.2,"-1",0.642899968226011,"-1",0.5,"-1",1,"-1",1,"-1",0.588214946078191,"-1",0.62573385518591,"audrey was a rare and special person and you knew it while in her presence."
"14","-1",0.631496402973264,"-1",0.620608420943009,"5",0.648616953921501,"-1",0.729530994308797,"-1",0.5,"-1",0.96,"-1",0.725,"-1",0.676868801507765,"-1",0.62573385518591,"she is survived by her sisters: rose (tom) jordan, shenendoah, ia; shirley (carson) hovda, roseau, mn; her aunt, leona anderson, lynnwood, wa; brother-in-law, bob alvestad, grand forks, nd; nieces and nephews: crystal white, michael jelinek, shawna siewert zellemann, danson siewert, melissa allbritton, michael alvestad, carey jergenson and leah staven."
"15","-1",0.634944362677108,"-1",0.703449966792826,"-1",0.600159467119947,"-1",0.740217735529267,"-1",0.5,"-1",0.96,"-1",0.905,"-1",0.676868801507765,"-1",0.62573385518591,"she was preceded in death by her parents, grandparents, sisters: darlene jelinek, kathy alvestad and sandra johnson, nephews: shane sandvig and travis johnson, aunts and uncles."
"16","5",0.497184847507438,"1",0.543842260791513,"1",0.685596903269294,"1",0.644059586597732,"1",0.880797077977882,"1",0.84,"1",0.66,"1",0.721295352030083,"1",0.464406779661017,"visitation will be friday from 6-7 pm with a prayer service at 7:00 pm at the tollefson funeral home of park river."
"17","5",0.444587929428449,"-1",0.340995367670891,"1",0.369704607675624,"1",0.371539171258377,"1",0.5,"5",0.6,"5",0.445,"1",0.721295352030083,"1",0.464406779661017,"graveside services will be saturday, june 13, 2015 at 2:00 pm at st. johns catholic cemetery, pisek, north dakota."
