"","SVM_LABEL","SVM_PROB","GLMNET_LABEL","GLMNET_PROB","MAXENTROPY_LABEL","MAXENTROPY_PROB","SLDA_LABEL","SLDA_PROB","LOGITBOOST_LABEL","LOGITBOOST_PROB","BAGGING_LABEL","BAGGING_PROB","FORESTS_LABEL","FORESTS_PROB","NNETWORK_LABEL","NNETWORK_PROB","TREE_LABEL","TREE_PROB","sentence"
"1","-1",0.631536469063988,"-1",0.620608420943009,"-1",0.490676554891714,"-1",0.630171794821083,"-1",0.5,"-1",0.84,"-1",0.675,"-1",0.604440303471979,"-1",0.62573385518591,"| james a. browne."
"2","-1",0.626375975331798,"-1",0.620608420943009,"5",0.2,"-1",0.642899968226011,"-1",0.5,"-1",1,"-1",1,"-1",0.588214946078191,"-1",0.62573385518591,"june 4, 1930 june 10, 2015."
"3","-1",0.634061985401576,"-1",0.571489003336612,"-1",0.558137147894779,"-1",0.564238532776462,"-1",0.5,"-1",0.8,"-1",0.64,"-1",0.651436981405137,"-1",0.62573385518591,"james a. browne, 85, of north liberty, passed away wednesday, june 10, 2015, at his residence."
"4","-1",0.637128301858564,"-1",0.588492489216177,"-1",0.559193663020174,"-1",0.594539088083641,"-1",0.5,"-1",0.84,"-1",0.635,"-1",0.676868801507765,"-1",0.62573385518591,"james was born june 4, 1930, in bethel, maine, to sylvanus and eva (smith) browne."
"5","-1",0.637476578250358,"-1",0.820285015527027,"-1",0.896740380680302,"-1",0.77300350983538,"-1",0.880797077977882,"-1",0.92,"-1",0.825,"-1",0.676827778277068,"-1",0.62573385518591,"on december 15, 1951 in bethel, maine, james married pauline (enman), who passed away august 13, 2009."
"6","-1",0.639635649497714,"-1",0.735607330647295,"-1",0.888301594583049,"-1",0.717611697974047,"-1",0.880797077977882,"-1",0.84,"-1",0.785,"-1",0.676868801507765,"-1",0.62573385518591,"james is survived by his daughter, debi (arlen) stucky, of cement city, mi, sons, larry (robin) browne, of north liberty, and dennis (loretta) browne, of columbia, al, seven grandchildren, elizabeth schmucker, kristin nicks, adriane baker, nate stucky, heather patterson, jason browne, and jamie browne, along with sixteen great-grandchildren. james honorably served his country in the u."
"7","-1",0.594819269819976,"-1",0.526369573325761,"-1",0.688540716768835,"-1",0.760517823285178,"5",0.5,"-1",0.92,"-1",0.72,"1",0.721282551459744,"1",0.464406779661017,"s. navy. he served as a missionary for new tribes mission, working with the kuna indians in panama, for more than twenty years with his wife. he will be dearly missed by his family and friends."
"8","5",0.425984836557366,"-1",0.380196922260333,"5",0.4433390985133,"5",0.527955292295222,"1",0.5,"-1",0.52,"5",0.385,"1",0.721295352030083,"1",0.464406779661017,"per james' wishes, there will be no visitation or services."
"9","-1",0.504849024353092,"-1",0.510716857745133,"5",0.490310627883906,"5",0.545106906501704,"5",0.5,"-1",0.64,"-1",0.62,"1",0.721295352030083,"1",0.464406779661017,"cremation will take place at welsheimer crematory."
"10","-1",0.647576990746496,"-1",0.830081994035846,"-1",0.99529078757548,"-1",0.823891151130415,"-1",0.880797077977882,"-1",0.96,"-1",0.8,"-1",0.676868801507765,"-1",0.62573385518591,"in james' memory, contributions may be made to new tribes mission, 1000 east first street, sanford, fl, 32771-1487 or heartland hospice, 826 w. edison rd., mishawaka, in 46545."
"11","-1",0.625980874776735,"-1",0.612277462853147,"-1",0.799593088774755,"-1",0.756503147180282,"-1",0.5,"-1",1,"-1",0.94,"-1",0.676868801507765,"-1",0.62573385518591,"family and friends may leave e-mail condolences at www. welsheimer."
"12","-1",0.651907038266453,"-1",0.830081994035846,"-1",0.995964368669651,"-1",0.857623366360304,"-1",0.880797077977882,"-1",0.96,"-1",0.835,"-1",0.676868801507765,"-1",0.62573385518591,"comcharitable donations may be made in james's memory to the following organizations:new tribes mission 1000 east first street, sanford, fl, 32771-1487."
"13","-1",0.627471731023854,"-1",0.620608420943009,"1",0.391888416779563,"-1",0.690960870119742,"-1",0.5,"-1",1,"-1",0.725,"-1",0.673151782342349,"-1",0.62573385518591,"heartland hospice, 1315 directors roe, suite 200, ft."
"14","-1",0.630126585431788,"-1",0.620608420943009,"-1",0.563928609421659,"-1",0.653928396181676,"-1",0.5,"-1",1,"-1",0.68,"-1",0.676604568368837,"-1",0.62573385518591,"wayne, in, 46808."
