"","SVM_LABEL","SVM_PROB","GLMNET_LABEL","GLMNET_PROB","MAXENTROPY_LABEL","MAXENTROPY_PROB","SLDA_LABEL","SLDA_PROB","LOGITBOOST_LABEL","LOGITBOOST_PROB","BAGGING_LABEL","BAGGING_PROB","FORESTS_LABEL","FORESTS_PROB","NNETWORK_LABEL","NNETWORK_PROB","TREE_LABEL","TREE_PROB","sentence"
"1","-1",0.601841113326235,"-1",0.609038545163535,"-1",0.342409694980776,"-1",0.585897019003507,"-1",0.5,"-1",1,"-1",0.835,"5",0.380197583960762,"-1",0.62573385518591,"| more sharing services."
"2","-1",0.663251227057719,"-1",0.620608420943009,"-1",0.450190447763478,"-1",0.66172472548521,"-1",0.5,"-1",1,"-1",0.985,"-1",0.635955258458264,"1",0.552631578947368,"share "
"3","-1",0.601841113326235,"-1",0.609038545163535,"-1",0.342409694980776,"-1",0.585897019003507,"-1",0.5,"-1",1,"-1",0.835,"5",0.380197583960762,"1",0.464406779661017,"| more sharing services."
"4","-1",0.663251227057719,"-1",0.620608420943009,"-1",0.450190447763478,"-1",0.66172472548521,"-1",0.5,"-1",1,"-1",0.985,"-1",0.635955258458264,"1",0.464406779661017,"share "
"5","-1",0.601841113326235,"-1",0.609038545163535,"-1",0.342409694980776,"-1",0.585897019003507,"-1",0.5,"-1",1,"-1",0.835,"5",0.380197583960762,"-1",0.62573385518591,"| more sharing services."
"6","-1",0.663251227057719,"-1",0.620608420943009,"-1",0.450190447763478,"-1",0.66172472548521,"-1",0.5,"-1",1,"-1",0.985,"-1",0.635955258458264,"-1",0.62573385518591,"share "
"7","-1",0.601841113326235,"-1",0.609038545163535,"-1",0.342409694980776,"-1",0.585897019003507,"-1",0.5,"-1",1,"-1",0.835,"5",0.380197583960762,"-1",0.62573385518591,"| more sharing services."
"8","-1",0.663251227057719,"-1",0.620608420943009,"-1",0.450190447763478,"-1",0.66172472548521,"-1",0.5,"-1",1,"-1",0.985,"-1",0.635955258458264,"1",0.464406779661017,"share "
"9","-1",0.601841113326235,"-1",0.609038545163535,"-1",0.342409694980776,"-1",0.585897019003507,"-1",0.5,"-1",1,"-1",0.835,"5",0.380197583960762,"-1",0.62573385518591,"| more sharing services."
"10","-1",0.663251227057719,"-1",0.620608420943009,"-1",0.450190447763478,"-1",0.66172472548521,"-1",0.5,"-1",1,"-1",0.985,"-1",0.635955258458264,"-1",0.62573385518591,"share "
"11","-1",0.601841113326235,"-1",0.609038545163535,"-1",0.342409694980776,"-1",0.585897019003507,"-1",0.5,"-1",1,"-1",0.835,"5",0.380197583960762,"-1",0.62573385518591,"| more sharing services."
"12","-1",0.663251227057719,"-1",0.620608420943009,"-1",0.450190447763478,"-1",0.66172472548521,"-1",0.5,"-1",1,"-1",0.985,"-1",0.635955258458264,"-1",0.62573385518591,"share "
